date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1244764800,0.0,0.0,4.523634536296296e-06,0.0,0.0,91.0,91.0,91.0,0.0
1244851200,0.0,0.0,3.6785599525925925e-06,0.0,0.0,74.0,74.0,74.0,0.0
1244937600,0.0,0.0,3.479718874074074e-06,0.0,0.0,70.0,70.0,70.0,0.0
1245024000,0.0,0.0,4.07624210962963e-06,0.0,0.0,82.0,82.0,82.0,0.0
1245110400,0.0,0.0,3.628849682962963e-06,0.0,0.0,73.0,73.0,73.0,0.0
1245196800,0.0,0.0,3.827690761481482e-06,0.0,0.0,77.0,77.0,77.0,0.0
1245283200,0.0,0.0,4.02653184e-06,0.0,0.0,81.0,81.0,81.0,0.0
1245369600,0.0,0.0,4.324793457777778e-06,0.0,0.0,87.0,87.0,87.0,0.0
1245456000,0.0,0.0,4.175662648888889e-06,0.0,0.0,84.0,84.0,84.0,0.0
1245542400,0.0,0.0,3.728270222222222e-06,0.0,0.0,75.0,75.0,75.0,0.0
1245628800,0.0,0.0,3.97682157037037e-06,0.0,0.0,81.0,81.0,81.0,3000.0
1245715200,0.0,0.0,3.7779804918518514e-06,0.0,0.0,76.0,76.0,76.0,0.0
1245801600,0.0,0.0,4.225372918518518e-06,0.0,0.0,88.0,87.0,87.0,125.0
1245888000,0.0,0.0,3.6785599525925925e-06,0.0,0.0,74.0,74.0,74.0,0.0
1245974400,0.0,0.0,4.424213997037036e-06,0.0,0.0,90.0,90.0,90.0,1000.0
1246060800,0.0,0.0,4.225372918518518e-06,0.0,0.0,85.0,85.0,85.0,0.0
1246147200,0.0,0.0,2.5352237511111114e-06,0.0,0.0,53.0,52.0,52.0,25.0
1246233600,0.0,0.0,3.7779804918518514e-06,0.0,0.0,76.0,76.0,76.0,0.0
1246320000,0.0,0.0,4.324793457777778e-06,0.0,0.0,89.0,89.0,89.0,125.0
1246406400,0.0,0.0,4.125952379259259e-06,0.0,0.0,84.0,84.0,84.0,100.0
1246492800,0.0,0.0,3.579139413333334e-06,0.0,0.0,72.0,72.0,72.0,0.0
1246579200,0.0,0.0,4.125952379259259e-06,0.0,0.0,85.0,84.0,84.0,10.0
1246665600,0.0,0.0,4.424213997037036e-06,0.0,0.0,89.0,89.0,89.0,0.0
